user_id,items_count,steam_id,playtime_forever,playtime_2weeks
washington_,112,76561198044031549,33,0
jewxxl,0,76561198085386998,0,0
76561198088944293,131,76561198088944293,1616,0
76561198092540221,0,76561198092540221,0,0
76561198061769804,40,76561198061769804,5,0
76561198061475436,0,76561198061475436,0,0
76561198051258119,73,76561198051258119,1636,0
76561198065771371,64,76561198065771371,0,0
nubquake123,76,76561198053801332,1930,0
Pyromanic,41,76561198059267109,94,0
76561198109656922,43,76561198109656922,25031,0
76561198149432604,14,76561198149432604,6873,0
Unplanned_stategy,39,76561198031111554,14895,0
CobRazor,70,76561198000290610,98685,128
relesprit,104,76561198039196279,687,0
76561198090294067,59,76561198090294067,720,0
jimmyarcexd,1,76561198069329007,32,0
talove112345,105,76561198068604808,9383,0
76561198055094875,41,76561198055094875,6502,430
WitchHunter4542,75,76561198049338296,1208,0
76561198203244300,40,76561198203244300,52344,1207
pwrt,51,76561198092377415,1365,0
wantmahbody,83,76561198095435043,984,0
76561198115868847,33,76561198115868847,5813,0
benedictcuminherbatch,5,76561198047971656,3825,174
76561198031207016,41,76561198031207016,2384,0
76561198089077856,4,76561198089077856,0,0
76561198043458582,168,76561198043458582,15317,99
kerim77,0,76561198034475640,0,0
smashiroshh,172,76561198140446256,1600,28
shark854,37,76561198073360997,51,0
76561198062876401,153,76561198062876401,361,0
76561198011661078,11,76561198011661078,46,0
PabloSanches,116,76561198047569011,95,0
76561197991074667,14,76561197991074667,0,0
killbunny38,110,76561198033203747,1832,0
76561198047630659,133,76561198047630659,3343,0
76561198069713121,115,76561198069713121,6370,0
1997-07-06_J077,7,76561198086801155,17149,0
76561198076248461,19,76561198076248461,142,0
1337lolroflmao,197,76561198058095161,3833,0
76561198080832419,10,76561198080832419,4048,0
76561198151645088,27,76561198151645088,224,0
IAA_Recon_Dropbear,195,76561198007380166,54,0
sithjjf,0,76561198059540034,0,0
goonbagger,30,76561198106147641,3715,0
76561198060039459,35,76561198060039459,37,0
OzfurAtlas,125,76561198049756768,9716,0
76561198065593074,111,76561198065593074,64851,49
madmax64,81,76561198086168469,21265,0
76561198044169764,57,76561198044169764,84,0
euzi,19,76561198074141366,831,0
76561198074935997,0,76561198074935997,0,0
76561197961778802,0,76561197961778802,0,0
lucasrash,27,76561198092019152,1464,26
76561198016602703,0,76561198016602703,0,0
76561198082845362,6,76561198082845362,9628,0
76561198087767019,25,76561198087767019,2220,0
thisissohardtomakeoneup,15,76561198045506359,21,0
76561198087010391,7,76561198087010391,23435,56
76561198015747875,0,76561198015747875,0,0
66666669999999,121,76561198004054805,0,0
76561198061174192,131,76561198061174192,69,0
DoaFapbeforeaNap,114,76561198053143446,75,0
ReMiXOfficalSteam,106,76561198069676842,43,0
Wilfire77,113,76561198036810834,165,0
76561198042730234,36,76561198042730234,0,0
76561198069159579,25,76561198069159579,148,0
76561198086476445,18,76561198086476445,1082,0
76561198085016240,59,76561198085016240,954,0
76561198060808273,310,76561198060808273,9325,0
76561198084390807,26,76561198084390807,1,0
76561198003688205,7,76561198003688205,205234,418
Mastic,365,76561198070257177,339,0
Scooterinooo,40,76561198160377098,418,0
76561198028286104,30,76561198028286104,311,0
76561198088447673,36,76561198088447673,1515,0
tarjla,193,76561198063067690,3229,0
deathnz1,250,76561197995287773,49,0
readingthis4noobs,57,76561198089643196,17240,213
SonicMCGamer,19,76561198092383889,607,0
xXBoss1Xx,3,76561198286931078,864,23
76561198084698198,143,76561198084698198,44302,0
76561198104393251,51,76561198104393251,12880,372
Borne901,58,76561198049508546,1352,0
76561198075322986,91,76561198075322986,22,0
redsncrimson,65,76561198055786387,4333,0
76561198151910904,38,76561198151910904,14,0
H1DD3NT3RR0R,108,76561198066902183,327,0
76561198071214618,93,76561198071214618,685,0
76561198115115631,58,76561198115115631,527,0
sisiiik,33,76561198047046499,2233,0
76561198071175142,67,76561198071175142,1440,751
t8s,70,76561198191333731,67,0
pikawuu2,100,76561198052736868,2711,0
Sammeh00,96,76561198088147599,10499,0
godlike_bot,33,76561198080807756,53,0
76561198044204914,0,76561198044204914,0,0
dpswaffles,18,76561198067512897,2947,0
NoObFiGHtEr,49,76561198032786959,77,0
Michaelele,66,76561198059519402,0,0
76561198045754869,124,76561198045754869,375,0
76561198076098774,9,76561198076098774,412,0
76561198074963071,24,76561198074963071,55,55
76561198103253374,26,76561198103253374,0,0
76561198048417105,12,76561198048417105,438,0
76561197989175394,31,76561197989175394,6964,0
76561198090842891,40,76561198090842891,14499,0
76561198058706736,20,76561198058706736,0,0
76561198055767971,95,76561198055767971,2,0
76561197998052647,113,76561197998052647,2420,0
adohya343,137,76561198123280390,0,0
76561198145436942,34,76561198145436942,10473,124
jjas01,0,76561197973962178,0,0
3xotic26,153,76561198046015922,110,0
iamthetrashlord,191,76561198063595238,97,0
nothingheretrustme,44,76561198085452091,4296,0
76561198071253729,43,76561198071253729,1118,0
3dster,113,76561198064608459,198,0
76561198041808338,81,76561198041808338,8103,0
76561198016685643,124,76561198016685643,560,0
_za,0,76561198069002084,0,0
76561198035588228,0,76561198035588228,0,0
76561198079990063,26,76561198079990063,2,0
Forty-Nine,114,76561198087332642,8780,0
76561198051017916,763,76561198051017916,412,0
L4M1NAS,74,76561198050176480,463,0
emurphy8,29,76561198057408937,219,0
76561198096766604,48,76561198096766604,1800,40
Sephirical,130,76561198042796550,26,0
76561197995322437,36,76561197995322437,213,0
imsojipper,196,76561198070484359,16,0
76561198066840831,7,76561198066840831,12329,0
76561198096220900,38,76561198096220900,402,0
76561198084542731,61,76561198084542731,178,0
fullswag0to100realquick,24,76561198054734103,3395,0
76561198061913628,0,76561198061913628,0,0
76561198102121026,1,76561198102121026,37,0
76561198023094381,0,76561198023094381,0,0
76561198103671881,96,76561198103671881,194,194
mrpfresh,791,76561197974266367,148,0
GamerFag,64,76561198006592023,125,0
76561197970628046,83,76561197970628046,655,0
76561198013858002,40,76561198013858002,103,0
76561198058570014,67,76561198058570014,2953,0
76561198045133986,43,76561198045133986,1297,0
CocoRichy,0,76561198090629243,0,0
EHS-R3AP3R,0,76561198050004858,0,0
76561198002820828,129,76561198002820828,5432,0
chidori_647,723,76561198018683659,0,0
76561198092227136,333,76561198092227136,0,0
76561197975388604,0,76561197975388604,0,0
hellcat59,55,76561198089539976,11658,120
76561198007584361,138,76561198007584361,1041,0
tbimperator,279,76561198061137771,303,0
Allahu_Akbar666,86,76561198072341833,32709,0
ulramite,135,76561198055973093,13,0
76561198080534850,63,76561198080534850,0,0
-GM-Dragon,106,76561197978442610,14,0
LeoRocksAce,24,76561198083940248,255,0
76561198054040292,90,76561198054040292,6508,0
76561198078799606,0,76561198078799606,0,0
76561198155458511,56,76561198155458511,21031,0
76561198045065985,0,76561198045065985,0,0
I_DID_911_JUST_SAYING,154,76561198067520555,2349,87
76561198077035732,14,76561198077035732,2078,0
76561198072625764,44,76561198072625764,163,0
A_Je_100,13,76561198070273727,37608,992
imagoatieatpoo,22,76561198050771457,2031,0
750805,690,76561198095708135,176,0
76561198080881726,43,76561198080881726,155,0
Thatishayden,122,76561198055320702,252,0
76561198033864626,0,76561198033864626,0,0
Flabbernackle,261,76561198063584783,1826,0
diabeticfuck,121,76561198072918306,5,0
magicalpony,6,76561198248835684,0,0
76561197962104795,79,76561197962104795,164,0
76561198054465623,230,76561198054465623,7556,17
76561198074257942,178,76561198074257942,39,0
aaropro,36,76561198084687167,4239,0
Aaron_ggf,664,76561197975146915,1,0
76561198074324939,0,76561198074324939,0,0
abhorence,0,76561197994852170,0,0
abiam,46,76561198057005123,453,0
76561198037346576,89,76561198037346576,375,0
FrankoWalker,53,76561198119635144,326,0
LightfootSword7,255,76561198052108889,25,0
DaDanMan,184,76561198044300314,610,0
SALTTHEW0UND,114,76561198087436922,6404,0
abuffalostuckinatree,0,76561198037257505,0,0
express157,75,76561198065500375,243,0
76561198070215484,0,76561198070215484,0,0
76561198074644990,132,76561198074644990,921,0
76561198064304806,36,76561198064304806,2172,0
3456457568,90,76561198069126647,1465,0
76561198045776691,0,76561198045776691,0,0
TomoeMamiewe,63,76561198044661522,956,0
76561198057086148,66,76561198057086148,35848,222
Acidius99,128,76561198103673180,325,0
76561198067150343,105,76561198067150343,741,0
acorn13,404,76561198001612399,1050,0
adamcookie,40,76561198049455674,19,0
AddzyTheBaddzy,138,76561198091378873,20,0
mrfunkyjunkie,0,76561198035060604,0,0
76561197997824340,255,76561197997824340,119,0
76561198076154360,18,76561198076154360,714,0
76561198055524901,28,76561198055524901,792,0
mradobe7,250,76561198060344583,109,0
zomboy151,164,76561198081816492,0,0
76561198167207237,58,76561198167207237,25766,165
cancerkek,50,76561198042686759,0,0
matto1499,55,76561198050553065,419,0
76561198073508075,47,76561198073508075,9730,0
76561198074323290,0,76561198074323290,0,0
76561198090899557,62,76561198090899557,1503,0
76561198072468669,12,76561198072468669,1004,0
Advancebest,92,76561198053319942,354,0
advenger95,104,76561198029864696,339,0
EndAtHallow,66,76561198055363234,25547,113
76561198060820384,24,76561198060820384,0,0
76561198063624801,87,76561198063624801,2114,0
aeryal,55,76561198107138336,397,0
vault_brothers,59,76561198170477598,1272,1
After2night,30,76561198085732302,4666,0
76561198029090446,79,76561198029090446,1947,0
76561197968819541,39,76561197968819541,233,0
76561198070263209,0,76561198070263209,0,0
76561198015968275,278,76561198015968275,772,0
defender_10,54,76561198052049909,11788,42
76561198006540520,0,76561198006540520,0,0
Agiegamma,109,76561198085624670,698,0
76561198082614708,28,76561198082614708,1166,1166
76561198066465411,38,76561198066465411,3274,0
Agronoth,206,76561198054531989,1305,0
UnholyFallenAngel,83,76561198097012821,5193,0
Ricardio556,113,76561198069056938,344,0
madgamerzzz,15,76561198047923966,14907,0
76561198068565589,120,76561198068565589,32910,0
SlutOnTheSpit,62,76561198031629115,533,0
76561197974897475,0,76561197974897475,0,0
WestyGaming,89,76561198031955420,1934,0
76561198031278382,0,76561198031278382,0,0
NaruseAiria,390,76561198076727678,87,0
airro,0,76561198017238367,0,0
76561198265081359,16,76561198265081359,1441,84
RemixEbola,0,76561198065907945,0,0
76561198046844795,11,76561198046844795,7174,0
76561198067713802,46,76561198067713802,12,0
76561198187212131,29,76561198187212131,20,0
76561198044678148,0,76561198044678148,0,0
rjh91,51,76561198069258468,173,0
Alex680,0,76561198088142152,0,0
alansiulun,47,76561198068368825,158,0
whitewolfang1,0,76561198053689884,0,0
Albolah,11,76561198127777505,889,0
76561198003056556,557,76561198003056556,0,0
76561198063941075,228,76561198063941075,354,0
76561198088886304,97,76561198088886304,0,0
maxpaynepillkiller,207,76561198094996791,0,0
AlexNoClutch,0,76561198066501403,0,0
Alexwai04,0,76561198081216764,0,0
76561198056092813,236,76561198056092813,340,0
76561198095481910,74,76561198095481910,852,0
76561198060059014,0,76561198060059014,0,0
76561198089024454,54,76561198089024454,23,0
76561198034129825,111,76561198034129825,2718,0
76561197994664479,0,76561197994664479,0,0
76561198164545985,4,76561198164545985,233,0
tninjat,26,76561198060102025,218,0
76561198068935240,90,76561198068935240,4,0
76561198091368975,0,76561198091368975,0,0
76561198036955150,24,76561198036955150,5324,0
76561198018840908,101,76561198018840908,0,0
AlkalineDeath,53,76561198040467599,458,0
76561198075935236,42,76561198075935236,155,0
Vigilante8,0,76561197994751966,0,0
Jupeter117,114,76561198080703915,7747,0
gsgg,104,76561198057524205,219,0
76561198075258452,50,76561198075258452,24,0
Jesusunholy,22,76561198062009245,81,0
mintifreshbadger,101,76561198113948502,74,0
HenryCT,35,76561198048914936,47,0
AlpacaRevolution,57,76561198064165439,724,0
76561197996305896,72,76561197996305896,1388,0
AlphaBryn444,99,76561198109133095,16518,0
76561198071952798,0,76561198071952798,0,0
76561198009001563,245,76561198009001563,715,0
76561198016753953,31,76561198016753953,37212,0
smegmyfoodle,78,76561198044281309,41,0
76561198141882120,0,76561198141882120,0,0
altas2011,44,76561198127762021,1095,0
silentbroadcaster,116,76561198047925260,1493,0
76561198057869849,84,76561198057869849,539,0
76561198058836921,0,76561198058836921,0,0
lol_ursuchanoob,160,76561198055479817,1789,0
rhysf,51,76561198003694107,22786,0
76561198098156489,57,76561198098156489,1579,0
AMLN,0,76561198068802744,0,0
76561198040021446,57,76561198040021446,1451,0
ShadowBall4011,0,76561198094660755,0,0
76561198035890730,30,76561198035890730,4979,0
AMV72,1041,76561197971372464,20,0
76561198069170979,50,76561198069170979,59,0
76561198085956238,88,76561198085956238,87,0
76561198132540690,55,76561198132540690,70,0
711armageddoncarmageddon,96,76561198087759807,245,0
76561198058301224,397,76561198058301224,22,0
76561198055326484,25,76561198055326484,0,0
76561198034868596,140,76561198034868596,899,0
AncientBlade,23,76561198094461173,3774,0
Andraison,84,76561198067449201,83,0
76561198048401235,78,76561198048401235,46,0
76561198055790408,0,76561198055790408,0,0
76561198050465176,72,76561198050465176,0,0
76561198026258913,109,76561198026258913,13718,0
76561198069560699,76,76561198069560699,2,0
76561198099625419,198,76561198099625419,1057,0
someone6245,116,76561198013091048,1,0
76561198084032274,70,76561198084032274,26757,77
76561198030772859,102,76561198030772859,15979,0
Angrovar,82,76561198060146226,1160,0
AngryAinsley,101,76561198131002806,160488,270
76561198069005048,32,76561198069005048,253,0
-AnimeIsMyThing-,127,76561198074664792,6119,0
uradumbtit,246,76561198064433302,133,0
76561198037038784,136,76561198037038784,1426,0
IKillNoobsFirst,48,76561198046317409,1598,0
76561198037888300,124,76561198037888300,70,0
operationblueberry,65,76561198080548524,747,0
1234865654,76,76561198086384812,362,0
76561198040925596,0,76561198040925596,0,0
antacy,35,76561198091761253,102,0
76561197992148038,523,76561197992148038,0,0
76561198084123358,35,76561198084123358,0,0
76561198034942509,212,76561198034942509,42,0
76561198032377745,71,76561198032377745,26884,0
capitaomurilao,63,76561198053619146,3932,0
Apachehavoc,81,76561198056692523,844,0
ApexNZ,62,76561198075053271,4663,0
76561198039441595,389,76561198039441595,2,0
76561198036687918,130,76561198036687918,1100,0
Apollopepsi,96,76561198070628567,11558,0
benjamin27,105,76561198083557617,222,0
AppoGetsSuperAdmin,54,76561198052921535,72764,6083
ARRIVE,45,76561198107355391,39,0
76561198071475367,37,76561198071475367,1345,0
r3ap3r78,331,76561198011684252,5811,0
Aquilares,296,76561198005934962,0,0
76561198049916759,0,76561198049916759,0,0
76561198065064829,10,76561198065064829,2381,0
XABLAUziitu,86,76561198031162085,89,0
76561198012909706,182,76561198012909706,1525,0
aarcanicuss,21,76561198056946489,1173,0
dragonchief,264,76561198011336251,3255,0
76561198040530605,120,76561198040530605,32358,0
76561198060989765,0,76561198060989765,0,0
76561197974500703,309,76561197974500703,1791,0
76561198047185525,114,76561198047185525,924,0
mestuajix2,8,76561198097707197,304,0
76561198067188826,34,76561198067188826,50,0
ArcticTek,62,76561198061147800,96,0
76561197974465310,72,76561197974465310,0,0
sweep6060,107,76561198067808950,860,0
76561198090279813,0,76561198090279813,0,0
bilyitu,53,76561198082360492,0,0
76561198021244661,0,76561198021244661,0,0
76561198088538797,53,76561198088538797,1168,45
76561198089844789,43,76561198089844789,258,0
76561198072861800,7,76561198072861800,244,0
deployablearchnagel,119,76561198071483936,3535,2639
rotflmaoman,120,76561198045715119,136,0
76561198088670023,54,76561198088670023,108,0
76561198081028176,66,76561198081028176,1286,0
76561198093106303,0,76561198093106303,0,0
ArmouredForBattle,6,76561198325896496,283,283
armouredmarshmallow,119,76561198104386187,36243,54
darrenfordfalcon,85,76561198057323866,5311,367
76561198020928326,110,76561198020928326,5599,0
76561198045570160,131,76561198045570160,8029,0
arockstar28,38,76561198083884120,7309,0
Array71,222,76561198039667033,141,0
alexms69,0,76561198204406408,0,0
76561198039874575,103,76561198039874575,39802,0
arronlim13,131,76561198089824807,1,0
76561198042389215,170,76561198042389215,0,0
76561198006534186,81,76561198006534186,0,0
artej96,12,76561198102226879,84,0
ARTHERDUNGER10,167,76561198066630066,210,0
Mackus1011,267,76561198074783119,823,0
76561198041877981,83,76561198041877981,8084,0
ARZARNAR,119,76561198059173677,471,175
76561198089950447,40,76561198089950447,6074,0
sontersaurus,0,76561198080132669,0,0
darkmassieh,174,76561198054496878,0,0
Boomblasty,12,76561198096088167,0,0
asianturtlefrenzy,87,76561198100436187,261,0
Edmund28,38,76561198063903340,2179,0
blowjobsfurdayzandgayz,104,76561198090520850,4863,420
76561198082992295,21,76561198082992295,3625,0
LaLocaDeLosDulces,48,76561198027993240,47719,330
76561198096064761,12,76561198096064761,41054,749
76561198064352761,117,76561198064352761,604,0
assassin_warman,165,76561198027176626,834,0
76561198019431054,137,76561198019431054,8,0
Astrelt,297,76561198056770012,1,0
bakhtiar93tiarstudio,0,76561198050693553,0,0
bobjimmy007,126,76561198078867478,184,0
76561198091740831,25,76561198091740831,13047,61
76561198095380303,68,76561198095380303,7,0
AtomicWoodchuck,0,76561197970409140,0,0
76561198050251204,0,76561198050251204,0,0
76561198052003136,27,76561198052003136,265,0
omgihaveawebpage,126,76561198072886602,0,0
Swish0009,181,76561198044571371,1366,0
76561198030943851,81,76561198030943851,0,0
Aurora99,136,76561198060037470,1170,0
76561198053071988,174,76561198053071988,224,0
minionking,22,76561198049650023,610,92
76561198083375450,215,76561198083375450,18,0
scroopy22,460,76561198007437864,0,0
76561198078730600,0,76561198078730600,0,0
76561198076984454,31,76561198076984454,32,0
76561198091054851,144,76561198091054851,65,0
iDestrix,46,76561198096240087,7,0
auzmoz,49,76561197999326884,143168,1537
auzzie_96,92,76561198150875994,0,0
76561198009353440,43,76561198009353440,340,0
76561198082020576,47,76561198082020576,99,0
fatrangacuntnolifevirgin,52,76561198088436468,456,0
helvisavillon,2,76561198074228269,0,0
76561198080015704,27,76561198080015704,3722,0
76561198040602004,75,76561198040602004,8574,0
