,genres,title,id,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,year
88326,"Free to Play, Indie, Simulation, Sports",SNOW - Starter Pack,774271,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
88327,"Adventure, Casual, Indie, Simulation, Strategy",The first thrust of God - All Aircrafts,773690,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
88328,"Free to Play, Indie, Simulation, Sports",SNOW - Lifetime Pack,774279,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
88331,"Action, Adventure, Indie",The Warrior Of Treasures,768060,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
88333,"Racing, Simulation, Sports",RC Plane 3 - Canyon Scenario,775880,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017
88334,"Racing, Simulation, Sports",RC Plane 3 - F-53B,775881,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017
88335,"Action, Indie",DinoBlaster,653960,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
88337,"Action, Indie, Racing",Carmageddon Max Pack,282010,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1997
88338,Action,Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
88339,"Action, Indie, RPG",Fallen Mage,752360,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
88343,"Casual, Indie, Simulation",Vaporwave Simulator,766850,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018
88348,"Adventure, Casual, Indie, RPG",Bitcoin Clicker,716110,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018
88349,Strategy,Disciples II: Gallean's Return,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88350,Strategy,Disciples II: Rise of the Elves,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88351,"Action, Indie, RPG",The Ship: Murder Party,2400,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2006
88356,"Action, Indie, Strategy, Early Access",Souland,759920,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2017
88358,"Action, Adventure, Indie, RPG",TAROTICA VOO DOO,603280,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2017
88359,"Casual, Strategy, Early Access",Chronicles of Vinland,753110,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017
88360,"Action, Indie",Orbitality,753100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
88362,"Action, Adventure, Casual",Atomic Adam: Episode 1,764280,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
88365,Action,Advent Rising,3800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
88366,"Indie, Strategy",DEFCON,1520,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2006
88367,"Action, Indie, RPG",The Ship: Single Player,2420,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2006
88368,"Indie, Simulation",Garry's Mod,4000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2006
88369,Racing,RACE - The WTCC Game,4230,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
88370,"Casual, Indie",Zen of Sudoku,4900,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006
88371,"Casual, Indie",Gumboy - Crazy Adventures™,2520,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006
88372,Strategy,Ghost Master®,6200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2003
88373,Strategy,Vegas: Make It Big™,6210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88374,"Adventure, RPG",Dreamfall: The Longest Journey,6300,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2006
88375,Racing,FlatOut 2™,2990,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
88376,Racing,FlatOut,6220,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005
88377,"Action, Adventure",Lost Planet™: Extreme Condition,6510,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88378,Strategy,CivCity: Rome,3980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88379,RPG,Arx Fatalis,1700,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2002
88380,"Action, Adventure, RPG",The Longest Journey,6310,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000
88381,Strategy,Civilization IV®: Warlords,3990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88382,Strategy,Railroad Tycoon 3,7610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2003
88383,Strategy,Sid Meier's Railroads!,7600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88385,Strategy,Railroad Tycoon II Platinum,7620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1998
88387,Strategy,X-COM: Terror From the Deep,7650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1995
88388,"Action, Adventure",Tomb Raider: Anniversary,8000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88389,Action,Devil May Cry® 3 Special Edition,6550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88390,"Action, Adventure",Sam &amp; Max 101: Culture Shock,8200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88391,Action,Final DOOM,2290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
88393,"Action, Adventure",Sam &amp; Max 102: Situation: Comedy,8210,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88394,Action,Ultimate Doom,2280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
88395,Action,Master Levels for Doom II,9160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
88396,Action,DOOM II,2300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
88397,Action,Wolfenstein 3D,2270,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
88398,Action,Return to Castle Wolfenstein,9010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
88399,Action,QUAKE Mission Pack 1: Scourge of Armagon,9040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
88400,Action,Spear of Destiny,9000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
88401,Action,BloodRayne,3810,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
88402,Action,QUAKE Mission Pack 2: Dissolution of Eternity,9030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88403,Action,QUAKE,2310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88404,Strategy,Genesis Rising,3230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
88405,Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88406,"Action, RPG",BioShock™,7670,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007
88407,Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",4570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88408,Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",4580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88409,Strategy,Rome: Total War™ - Collection,4760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2004
88410,Strategy,Rome: Total War™ - Alexander,4770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88411,Casual,Mystery Case Files: Madame Fate®,50970,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88414,Action,Manhunt,12130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
88415,Racing,Midnight Club 2,12160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2003
88416,Action,Max Payne 2: The Fall of Max Payne,12150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
88417,"Action, Adventure",Tomb Raider: Legend,7000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88418,Action,Max Payne,12140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
88419,Strategy,Command &amp; Conquer: Red Alert 3,17480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
88420,Casual,PuzzleQuest: Challenge of the Warlords,12500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88421,"RPG, Casual, Adventure",Culpa Innata,12310,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007
88422,Strategy,Prison Tycoon 3™: Lockdown,12510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
88423,"Action, Adventure, Strategy",Hunting Unlimited™ 2008,12530,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
88424,Racing,18 Wheels of Steel: American Long Haul,12520,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007
88425,Action,Conflict: Denied Ops,8100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88426,Action,ARMA: Combat Operations,2780,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88428,Action,Desperados 2: Cooper's Revenge,9710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88429,"Action, Adventure",Death to Spies,9800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88430,Action,Act of War: High Treason,9760,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88431,"Simulation, Strategy",RollerCoaster Tycoon® 3: Platinum,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2006
88432,Action,Act of War: Direct Action,2710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
88433,Action,Unreal 2: The Awakening,13200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
88434,Action,Unreal Gold,13250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
88435,"Casual, Indie",Ninja Reflex: Steamworks Edition,13000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
88436,Action,Tom Clancy's Splinter Cell®,13560,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
88437,Action,Far Cry®,13520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
88438,Action,Unreal Tournament: Game of the Year Edition,13240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
88439,Action,Tom Clancy's Rainbow Six® Vegas,13540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88440,Simulation,Silent Hunter® III,15210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2005
88441,"Casual, Simulation",Virtual Villagers - The Secret City,16180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008
88442,Casual,Mystery P.I.™ - The Vegas Heist,3520,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88443,Casual,Luxor,15970,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88444,Casual,Reaxxion,15950,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88445,Casual,Little Farm,15960,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88446,Casual,7 Wonders II,15900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88447,Casual,Luxor Amun Rising,15910,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
88448,Casual,Luxor 3,15930,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88449,Simulation,Petz® Horsez® 2,15160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
88450,Casual,Luxor 2,15920,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
88451,"Action, Adventure",Rayman Raving Rabbids™,15080,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88452,Simulation,Silent Hunter®: Wolves of the Pacific,15200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
88453,Simulation,IL-2 Sturmovik: 1946,15320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2006
88454,Simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,15240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008
88455,Adventure,Bone: Out From Boneville,8310,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
88456,Racing,Midnight Outlaw: 6 Hours to SunUp,12600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005
88457,Adventure,Bone: The Great Cow Race,8320,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
88458,Racing,Sprint Cars Road to Knoxville,12590,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
88460,Simulation,Ride! Carnival Tycoon,12560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
88462,Casual,Mahjongg Investigations: Under Suspicion,12540,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88463,Adventure,Dracula Origin,11050,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88465,"Adventure, RPG",Sherlock Holmes - Nemesis,11040,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
88466,"Adventure, Indie",Eternity's Child,19500,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
88467,"Simulation, Strategy",Pacific Storm Allies,11260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2007
88468,"Action, Indie",Tank Universal,19200,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
88469,Racing,FlatOut: Ultimate Carnage,12360,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
88470,Adventure,Oddworld: Abe's Exoddus®,15710,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
88471,Adventure,Oddworld: Abe's Oddysee®,15700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
88472,Racing,GTR Evolution Expansion Pack for RACE 07,8660,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
88473,Strategy,X-COM: Enforcer,7770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001
88474,Strategy,X-COM: Apocalypse,7660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1997
88475,Strategy,X-COM: UFO Defense,7760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1993
88476,"Action, RPG",S.T.A.L.K.E.R.: Clear Sky,20510,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
88477,Action,Crysis Warhead®,17330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88478,Action,Crysis,17300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88479,Strategy,X-COM: Interceptor,7730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1998
88480,"Action, RPG",The Witcher: Enhanced Edition Director's Cut,20900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
88481,Indie,Multiwinia,1530,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
88482,Racing,STCC - The Game 1 - Expansion Pack for RACE 07,8690,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
88483,"Strategy, Simulation",Children of the Nile: Alexandria,17120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2008
88484,Strategy,Sid Meier's Civilization IV: Colonization,16810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
88485,Action,Tom Clancy's Rainbow Six® 3 Gold,19830,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
88486,"Action, Adventure",LEGO Batman,21000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88487,"Simulation, Strategy",City Life 2008,4460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2008
88488,"RPG, Strategy",Hinterland,17140,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2008
88489,Action,Brothers in Arms: Hell's Highway™,15390,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88490,"Indie, Casual",Gravitron 2,21300,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
88491,Racing,Xpand Rally Xtreme,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
88492,Strategy,Heroes of Might &amp; Magic V: Hammers of Fate,15380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
88493,Action,Brothers in Arms: Earned in Blood™,19800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
88494,Strategy,Heroes of Might &amp; Magic V: Tribes of the East,15370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
88495,Strategy,The Settlers®: Rise Of An Empire Gold Edition,19930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
88496,Casual,Brain Spa,15350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88497,Action,The Sum of All Fears,19810,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
88498,Casual,Peggle™ Nights,3540,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88499,Indie,World of Goo,22000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
88500,"Action, Simulation, Strategy",X3: Terran Conflict,2820,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2008
88501,Action,Mare Nostrum,1230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88502,"Casual, Indie",Spectraball,18300,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
88503,"Indie, Casual, Sports",Galactic Bowling,20200,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2008
88504,"Action, Adventure",Bully: Scholarship Edition,12200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88505,Action,Far Cry® 2: Fortune's Edition,19900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88506,"Action, Indie, Strategy",Space Trader: Merchant Marine,11240,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2008
88507,Simulation,PRR Wagon Pack 01,256522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
88508,Simulation,"Class 421 London South East ""Jaffa Cake""",275144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
88509,Simulation,ATSF Wagon Pack 01,256521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
88510,Simulation,GP20 Union Pacific Add-on Livery,222569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
88511,Simulation,UK Van Wagon Pack,256535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
88512,Simulation,CSX SD70MAC Add-on Livery,256611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
88513,Simulation,CSX ES44AC Add-on Livery,256576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2009
88514,Action,Saints Row 2,9480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
88515,Action,Dead Space,17470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
88516,RPG,Rise of the Argonauts,12770,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
88517,"Action, Adventure",Mirror's Edge™,17410,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
88518,"Indie, Strategy",Defense Grid: The Awakening,18500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2008
88519,Action,F.E.A.R. 2: Project Origin,16450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
88520,"Strategy, Indie",Harvest: Massive Encounter,15400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2008
88521,"Indie, Strategy",Mayhem Intergalactic,18600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2007
88522,"Action, Indie",Larva Mortus,11340,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2009
88523,Strategy,Knights of Honor,25830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2005
88524,"Action, Adventure, Strategy",Ceville,23460,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2009
88525,Strategy,Empire: Total War™ - Special Forces Units &amp; Bonus Content,10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2009
88526,Action,Watchmen: The End is Nigh,21010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
88527,"Action, Adventure, Indie",Penumbra Overture,22180,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2007
88528,Action,Unreal Tournament 3 Black,13210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
88529,RPG,Drakensang,12640,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2009
88531,"Indie, Simulation",The Graveyard,27020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2008
88532,Racing,Burnout Paradise: The Ultimate Box,24740,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2009
88534,"Action, Indie",The Maw,26000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2009
88535,"Action, Indie",The Maw: River Redirect,26006,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2009
88536,"Action, Indie",The Maw: Brute Force,26005,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2009
